name,mean_num
Col_MG828,11
Col_MGD2,4
Col156,15
Col8282,3
ColRNAI,15
IncB,3
IncFIA,15
IncFIB_AP001918,17
IncFIC_FII,12
IncFII_pRSB107,7
IncI1,10
IncX1,4
IncX3,4
p0111,4
